voto,genero,edad,ponderado,inverso,homo_pon,estado,partido
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,50,0.45,2.2222222222222223,107381.02751746497,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,61,1.08,0.9259259259259258,44742.094798943726,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,42,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,51,0.45,2.2222222222222223,107381.02751746497,NA,PAN-PRI-PRD
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,29,1.08,0.9259259259259258,44742.094798943726,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,30,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,41,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,38,0.65,1.5384615384615383,74340.71135824495,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,32,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,40,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,66,3.36,0.2976190476190476,14381.387613946199,NA,PAN-PRI-PRD
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,54,1.23,0.8130081300813008,39285.741774682305,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,48,0.58,1.7241379310344829,83312.8661773435,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,32,1.65,0.6060606060606061,29285.734777490445,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,29,0.81,1.2345679012345678,59656.12639859164,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,43,1.72,0.5813953488372093,28093.87347840653,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,58,1.13,0.8849557522123894,42762.35609102587,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,61,1.28,0.78125,37751.14248660878,NA,MORENA-PT-Partido Verde
NS/NC,Hombre,47,1.07,0.9345794392523364,45160.245217625445,NA,NS
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,27,0.81,1.2345679012345678,59656.12639859164,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,55,3.65,0.273972602739726,13238.756817221707,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,42,0.21,4.761904761904762,230102.20182313918,NA,MORENA-PT-Partido Verde
NS/NC,Mujer,21,0.86,1.1627906976744187,56187.74695681306,NA,NS
NS/NC,Mujer,55,0.42,2.380952380952381,115051.10091156959,NA,NS
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,48,1.65,0.6060606060606061,29285.734777490445,NA,PAN-PRI-PRD
NS/NC,Hombre,61,0.35,2.857142857142857,138061.3210938835,NA,NS
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,29,0.38,2.6315789473684212,127161.74311278746,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,25,0.32,3.125,151004.5699464351,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,38,1.58,0.6329113924050632,30583.20403978432,NA,MORENA-PT-Partido Verde
NS/NC,Hombre,67,2.46,0.4065040650406504,19642.870887341152,NA,NS
NS/NC,Hombre,23,0.67,1.4925373134328357,72121.58564605855,NA,NS
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,52,1.39,0.7194244604316548,34763.64200205701,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,27,0.99,1.0101010101010102,48809.55796248407,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,33,0.63,1.5873015873015872,76700.73394104639,NA,MORENA-PT-Partido Verde
"Jorge Álvarez Máynez, Movimiento Ciudadano",Hombre,42,0.27,3.7037037037037033,178968.3791957749,NA,Movimiento Ciudadano
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,29,0.88,1.1363636363636365,54910.752707794585,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,60,0.18,5.555555555555555,268452.56879366236,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,46,0.55,1.8181818181818181,87857.20433247133,NA,PAN-PRI-PRD
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,28,0.99,1.0101010101010102,48809.55796248407,NA,PAN-PRI-PRD
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,43,1.65,0.6060606060606061,29285.734777490445,NA,PAN-PRI-PRD
"Jorge Álvarez Máynez, Movimiento Ciudadano",Hombre,35,0.64,1.5625,75502.28497321755,NA,Movimiento Ciudadano
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,52,0.48,2.0833333333333335,100669.7132976234,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,67,0.39,2.564102564102564,123901.18559707493,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,29,0.81,1.2345679012345678,59656.12639859164,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,50,1.28,0.78125,37751.14248660878,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,29,0.95,1.0526315789473684,50864.69724511498,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,54,1.13,0.8849557522123894,42762.35609102587,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,42,0.25,4.0,193285.84953143692,NA,MORENA-PT-Partido Verde
"Jorge Álvarez Máynez, Movimiento Ciudadano",Hombre,48,1.83,0.5464480874316939,26405.17070101597,NA,Movimiento Ciudadano
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,18,2.73,0.3663003663003663,17700.169371010707,NA,PAN-PRI-PRD
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,59,1.13,0.8849557522123894,42762.35609102587,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,45,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,30,0.55,1.8181818181818181,87857.20433247133,NA,PAN-PRI-PRD
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,40,4.91,0.20366598778004072,9841.438367181105,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,58,0.18,5.555555555555555,268452.56879366236,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,44,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,28,0.32,3.125,151004.5699464351,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,64,0.45,2.2222222222222223,107381.02751746497,NA,PAN-PRI-PRD
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,35,0.65,1.5384615384615383,74340.71135824495,NA,PAN-PRI-PRD
NS/NC,Mujer,20,0.86,1.1627906976744187,56187.74695681306,NA,NS
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,47,0.49,2.0408163265306123,98615.22935277394,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,60,3.09,0.3236245954692557,15638.013716135674,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,57,0.39,2.564102564102564,123901.18559707493,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,34,1.65,0.6060606060606061,29285.734777490445,NA,PAN-PRI-PRD
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,28,1.08,0.9259259259259258,44742.094798943726,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,38,1.72,0.5813953488372093,28093.87347840653,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,55,3.36,0.2976190476190476,14381.387613946199,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,20,0.35,2.857142857142857,138061.3210938835,NA,MORENA-PT-Partido Verde
"Jorge Álvarez Máynez, Movimiento Ciudadano",Mujer,33,0.82,1.2195121951219512,58928.61266202345,NA,Movimiento Ciudadano
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,27,0.41,2.4390243902439024,117857.2253240469,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,51,3.36,0.2976190476190476,14381.387613946199,NA,PAN-PRI-PRD
"Jorge Álvarez Máynez, Movimiento Ciudadano",Mujer,31,0.32,3.125,151004.5699464351,NA,Movimiento Ciudadano
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,26,0.88,1.1363636363636365,54910.752707794585,NA,MORENA-PT-Partido Verde
"Jorge Álvarez Máynez, Movimiento Ciudadano",Hombre,56,0.2,5.0,241607.31191429615,NA,Movimiento Ciudadano
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,32,0.65,1.5384615384615383,74340.71135824495,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,63,0.39,2.564102564102564,123901.18559707493,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,39,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,99,1.79,0.5586592178770949,26995.230381485602,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,48,1.72,0.5813953488372093,28093.87347840653,NA,MORENA-PT-Partido Verde
"Jorge Álvarez Máynez, Movimiento Ciudadano",Hombre,50,0.22,4.545454545454546,219643.01083117834,NA,Movimiento Ciudadano
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,27,2.96,0.33783783783783783,16324.818372587577,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,46,1.46,0.684931506849315,33096.892043054264,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,53,1.39,0.7194244604316548,34763.64200205701,NA,MORENA-PT-Partido Verde
"Jorge Álvarez Máynez, Movimiento Ciudadano",Mujer,33,0.32,3.125,151004.5699464351,NA,Movimiento Ciudadano
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,47,1.46,0.684931506849315,33096.892043054264,NA,MORENA-PT-Partido Verde
"Jorge Álvarez Máynez, Movimiento Ciudadano",Hombre,50,1.53,0.6535947712418301,31582.655152195573,NA,Movimiento Ciudadano
"Jorge Álvarez Máynez, Movimiento Ciudadano",Mujer,37,2.24,0.4464285714285714,21572.081420919298,NA,Movimiento Ciudadano
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,44,0.49,2.0408163265306123,98615.22935277394,NA,MORENA-PT-Partido Verde
"Jorge Álvarez Máynez, Movimiento Ciudadano",Hombre,39,0.64,1.5625,75502.28497321755,NA,Movimiento Ciudadano
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,56,3.96,0.25252525252525254,12202.389490621017,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,27,0.38,2.6315789473684212,127161.74311278746,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,43,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,33,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,56,0.45,2.2222222222222223,107381.02751746497,NA,PAN-PRI-PRD
NS/NC,Mujer,23,0.86,1.1627906976744187,56187.74695681306,NA,NS
"Jorge Álvarez Máynez, Movimiento Ciudadano",Hombre,41,0.25,4.0,193285.84953143692,NA,Movimiento Ciudadano
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,26,0.38,2.6315789473684212,127161.74311278746,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,50,0.48,2.0833333333333335,100669.7132976234,NA,PAN-PRI-PRD
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,27,1.08,0.9259259259259258,44742.094798943726,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,45,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,58,0.39,2.564102564102564,123901.18559707493,NA,MORENA-PT-Partido Verde
Ninguno,Mujer,29,1.83,0.5464480874316939,26405.17070101597,NA,Ninguno
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,62,1.17,0.8547008547008548,41300.395199024984,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,43,1.65,0.6060606060606061,29285.734777490445,NA,PAN-PRI-PRD
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,70,1.13,0.8849557522123894,42762.35609102587,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,39,0.49,2.0408163265306123,98615.22935277394,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,56,1.39,0.7194244604316548,34763.64200205701,NA,MORENA-PT-Partido Verde
Ninguno,Hombre,42,2.57,0.38910505836575876,18802.125440801257,NA,Ninguno
NS/NC,Mujer,22,0.79,1.2658227848101264,61166.40807956864,NA,NS
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,65,0.17,5.88235294117647,284243.89636976016,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,31,0.23,4.3478260869565215,210093.3147080836,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,50,3.36,0.2976190476190476,14381.387613946199,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,26,0.95,1.0526315789473684,50864.69724511498,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,62,1.17,0.8547008547008548,41300.395199024984,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,48,1.4,0.7142857142857143,34515.33027347088,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,54,1.28,0.78125,37751.14248660878,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,25,0.32,3.125,151004.5699464351,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,39,1.58,0.6329113924050632,30583.20403978432,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,44,1.4,0.7142857142857143,34515.33027347088,NA,PAN-PRI-PRD
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,57,0.57,1.7543859649122808,84774.49540852498,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,43,0.58,1.7241379310344829,83312.8661773435,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,61,1.28,0.78125,37751.14248660878,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,73,0.18,5.555555555555555,268452.56879366236,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,29,0.32,3.125,151004.5699464351,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,58,0.16,6.25,302009.1398928702,NA,MORENA-PT-Partido Verde
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,25,0.32,3.125,151004.5699464351,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,27,2.73,0.3663003663003663,17700.169371010707,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,39,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,21,1.17,0.8547008547008548,41300.395199024984,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,31,0.19,5.2631578947368425,254323.48622557492,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,43,0.6,1.6666666666666667,80535.77063809872,NA,PAN-PRI-PRD
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,57,3.09,0.3236245954692557,15638.013716135674,NA,PAN-PRI-PRD
NS/NC,Hombre,23,0.67,1.4925373134328357,72121.58564605855,NA,NS
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,38,1.58,0.6329113924050632,30583.20403978432,NA,MORENA-PT-Partido Verde
Ninguno,Mujer,49,0.4,2.5,120803.65595714808,NA,Ninguno
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,45,0.49,2.0408163265306123,98615.22935277394,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,64,3.09,0.3236245954692557,15638.013716135674,NA,PAN-PRI-PRD
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,48,4.91,0.20366598778004072,9841.438367181105,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,25,0.38,2.6315789473684212,127161.74311278746,NA,MORENA-PT-Partido Verde
"Jorge Álvarez Máynez, Movimiento Ciudadano",Mujer,52,0.26,3.846153846153846,185851.7783956124,NA,Movimiento Ciudadano
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,56,0.45,2.2222222222222223,107381.02751746497,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,78,1.17,0.8547008547008548,41300.395199024984,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,62,3.36,0.2976190476190476,14381.387613946199,NA,PAN-PRI-PRD
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,44,0.55,1.8181818181818181,87857.20433247133,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,26,0.38,2.6315789473684212,127161.74311278746,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,39,0.71,1.4084507042253522,68058.39772233694,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,57,0.39,2.564102564102564,123901.18559707493,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Hombre,28,0.99,1.0101010101010102,48809.55796248407,NA,PAN-PRI-PRD
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,33,0.71,1.4084507042253522,68058.39772233694,NA,PAN-PRI-PRD
"Jorge Álvarez Máynez, Movimiento Ciudadano",Hombre,45,1.9,0.5263157894736842,25432.34862255749,NA,Movimiento Ciudadano
"Claudia Sheinbaum, Morena-PT-Partido Verde",Mujer,53,1.39,0.7194244604316548,34763.64200205701,NA,MORENA-PT-Partido Verde
"Xóchitl Gálvez, Frente Amplio PAN-PRI-PRD",Mujer,21,1.08,0.9259259259259258,44742.094798943726,NA,PAN-PRI-PRD
"Claudia Sheinbaum, Morena-PT-Partido Verde",Hombre,34,0.49,2.0408163265306123,98615.22935277394,NA,MORENA-PT-Partido Verde
